,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
191,Sinnamary,GF,5.3833,-52.95,78.37,84,14,10.58,few clouds
192,Camacha,PT,33.0833,-16.3333,62.02,63,40,10.36,scattered clouds
193,Itaituba,BR,-4.2761,-55.9836,78.1,71,100,1.99,overcast clouds
194,Karakol,KG,42.4907,78.3936,36.19,54,100,2.1,overcast clouds
195,Araouane,ML,18.9048,-3.5265,72.61,14,100,5.14,overcast clouds
196,Bembereke,BJ,10.2283,2.6634,66.6,41,45,2.48,scattered clouds
197,Torbay,CA,47.6666,-52.7314,38.57,80,75,17.27,broken clouds
198,Santarem,BR,-2.4431,-54.7083,77.13,94,20,2.3,few clouds
199,Tashtyp,RU,52.7939,89.8983,19.74,65,89,1.32,overcast clouds
200,Bay Roberts,CA,47.5999,-53.2648,39.33,78,79,8.99,broken clouds
201,Bonito,BR,-21.1211,-56.4819,67.32,60,0,1.45,clear sky
202,Constitucion,CL,-35.3333,-72.4167,55.22,90,0,13.35,clear sky
203,Saryozek,KZ,44.3583,77.9753,38.28,65,100,1.59,overcast clouds
204,Lebu,CL,-37.6167,-73.65,54.7,84,65,15.3,broken clouds
205,Svetlyy,RU,54.675,20.1347,21.96,80,83,7.78,broken clouds
206,Ostersund,SE,63.1792,14.6357,21.61,100,100,13.0,overcast clouds
207,Ciocile,RO,44.8167,27.2333,45.7,87,5,15.9,clear sky
208,Ati,TD,13.2154,18.3353,70.56,22,27,8.16,scattered clouds
209,Dunmore Town,BS,25.5,-76.65,78.13,78,100,19.13,overcast clouds
210,Panorama,GR,40.5878,23.0315,62.38,61,20,8.05,few clouds
211,Gamba,GA,-2.65,10.0,75.11,89,98,5.84,overcast clouds
212,Mathathane,BW,-22.2687,28.7495,81.45,35,0,7.99,clear sky
213,Nador,MA,35.174,-2.9287,61.05,63,20,16.11,few clouds
214,Temir,KZ,49.1414,57.13,32.49,72,100,8.14,overcast clouds
215,Arauca,CO,7.0847,-70.7591,73.4,100,97,1.14,overcast clouds
216,Mutoko,ZW,-17.397,32.2268,69.49,42,0,2.8,clear sky
217,Usinsk,RU,65.9939,57.5281,11.41,91,92,11.54,overcast clouds
218,Muros,ES,42.7762,-9.0603,45.09,96,87,5.79,overcast clouds
219,Tombouctou,ML,20.0,-3.0,71.6,15,100,5.53,overcast clouds
220,Caxito,AO,-8.5785,13.6643,73.47,84,92,0.92,overcast clouds
221,Ambatolampy,MG,-19.3833,47.4167,68.23,66,9,1.92,clear sky
222,Krasnotorka,UA,48.682,37.5327,38.73,88,99,16.58,overcast clouds
223,Antofagasta,CL,-23.65,-70.4,61.88,84,29,2.19,scattered clouds
224,Pout,SN,14.7739,-17.0603,75.96,29,0,13.8,clear sky
225,Cluses,FR,46.0625,6.575,42.4,92,100,2.75,overcast clouds
226,Ugoofaaru,MV,5.6667,73.0,81.7,72,71,6.13,broken clouds
227,North Myrtle Beach,US,33.816,-78.68,39.25,50,81,0.49,broken clouds
228,Khairpur,PK,27.5295,68.7617,68.0,23,64,2.26,broken clouds
229,Khor,RU,47.8861,134.9464,33.76,65,72,6.31,broken clouds
230,Ibra,OM,22.6906,58.5334,76.6,45,21,2.24,few clouds
231,Olafsvik,IS,64.8945,-23.7142,41.67,77,76,18.63,broken clouds
232,Morondava,MG,-20.2833,44.2833,80.65,57,0,3.36,clear sky
233,Teguldet,RU,57.3064,88.1667,10.44,87,99,7.61,overcast clouds
